"","new_year","day_of_week","hijri_year"
"221","1798-09-09","Sunday",1212.75
"222","1797-09-09","Saturday",1211.71875
"223","1796-09-09","Friday",1210.6875
"224","1795-09-10","Thursday",1209.65625
"225","1794-09-10","Wednesday",1208.625
"226","1793-09-10","Tuesday",1207.59375
"227","1792-09-10","Monday",1206.5625
"228","1791-09-11","Sunday",1205.53125
"229","1790-09-11","Saturday",1204.5
"230","1789-09-11","Friday",1203.46875
"231","1788-09-11","Thursday",1202.4375
"232","1787-09-12","Wednesday",1201.40625
"233","1786-09-12","Tuesday",1200.375
"234","1785-09-12","Monday",1199.34375
"235","1784-09-12","Sunday",1198.3125
"236","1783-09-13","Saturday",1197.28125
"237","1782-09-13","Friday",1196.25
"238","1781-09-13","Thursday",1195.21875
"239","1780-09-13","Wednesday",1194.1875
"240","1779-09-14","Tuesday",1193.15625
"241","1778-09-14","Monday",1192.125
"242","1777-09-14","Sunday",1191.09375
"243","1776-09-14","Saturday",1190.0625
"244","1775-09-15","Friday",1189.03125
"245","1774-09-15","Thursday",1188
"246","1773-09-15","Wednesday",1186.96875
"247","1772-09-15","Tuesday",1185.9375
"248","1771-09-16","Monday",1184.90625
"249","1770-09-16","Sunday",1183.875
"250","1769-09-16","Saturday",1182.84375
"251","1768-09-16","Friday",1181.8125
"252","1767-09-17","Thursday",1180.78125
"253","1766-09-17","Wednesday",1179.75
"254","1765-09-17","Tuesday",1178.71875
"255","1764-09-17","Monday",1177.6875
"256","1763-09-18","Sunday",1176.65625
"257","1762-09-18","Saturday",1175.625
"258","1761-09-18","Friday",1174.59375
"259","1760-09-18","Thursday",1173.5625
"260","1759-09-19","Wednesday",1172.53125
"261","1758-09-19","Tuesday",1171.5
"262","1757-09-19","Monday",1170.46875
"263","1756-09-19","Sunday",1169.4375
"264","1755-09-20","Saturday",1168.40625
"265","1754-09-20","Friday",1167.375
"266","1753-09-20","Thursday",1166.34375
"267","1752-09-20","Wednesday",1165.3125
"268","1751-09-21","Tuesday",1164.28125
"269","1750-09-21","Monday",1163.25
"270","1749-09-21","Sunday",1162.21875
"271","1748-09-21","Saturday",1161.1875
"272","1747-09-22","Friday",1160.15625
"273","1746-09-22","Thursday",1159.125
"274","1745-09-22","Wednesday",1158.09375
"275","1744-09-22","Tuesday",1157.0625
"276","1743-09-23","Monday",1156.03125
"277","1742-09-23","Sunday",1155
"278","1741-09-23","Saturday",1153.96875
"279","1740-09-23","Friday",1152.9375
"280","1739-09-24","Thursday",1151.90625
"281","1738-09-24","Wednesday",1150.875
"282","1737-09-24","Tuesday",1149.84375
"283","1736-09-24","Monday",1148.8125
"284","1735-09-25","Sunday",1147.78125
"285","1734-09-25","Saturday",1146.75
"286","1733-09-25","Friday",1145.71875
"287","1732-09-25","Thursday",1144.6875
"288","1731-09-26","Wednesday",1143.65625
"289","1730-09-26","Tuesday",1142.625
"290","1729-09-26","Monday",1141.59375
"291","1728-09-26","Sunday",1140.5625
"292","1727-09-27","Saturday",1139.53125
"293","1726-09-27","Friday",1138.5
"294","1725-09-27","Thursday",1137.46875
"295","1724-09-27","Wednesday",1136.4375
"296","1723-09-28","Tuesday",1135.40625
"297","1722-09-28","Monday",1134.375
"298","1721-09-28","Sunday",1133.34375
"299","1720-09-28","Saturday",1132.3125
"300","1719-09-29","Friday",1131.28125
"301","1718-09-29","Thursday",1130.25
"302","1717-09-29","Wednesday",1129.21875
"303","1716-09-29","Tuesday",1128.1875
"304","1715-09-30","Monday",1127.15625
"305","1714-09-30","Sunday",1126.125
"306","1713-09-30","Saturday",1125.09375
"307","1712-09-30","Friday",1124.0625
"308","1711-10-01","Thursday",1123.03125
"309","1710-10-01","Wednesday",1122
"310","1709-10-01","Tuesday",1120.96875
"311","1708-10-01","Monday",1119.9375
"312","1707-10-02","Sunday",1118.90625
"313","1706-10-02","Saturday",1117.875
"314","1705-10-02","Friday",1116.84375
"315","1704-10-02","Thursday",1115.8125
"316","1703-10-03","Wednesday",1114.78125
"317","1702-10-03","Tuesday",1113.75
"318","1701-10-03","Monday",1112.71875
"319","1700-10-03","Sunday",1111.6875
"320","1699-10-03","Saturday",1110.65625
"321","1698-10-03","Friday",1109.625
"322","1697-10-03","Thursday",1108.59375
"323","1696-10-03","Wednesday",1107.5625
"324","1695-10-04","Tuesday",1106.53125
"325","1694-10-04","Monday",1105.5
"326","1693-10-04","Sunday",1104.46875
"327","1692-10-04","Saturday",1103.4375
"328","1691-10-05","Friday",1102.40625
"329","1690-10-05","Thursday",1101.375
"330","1689-10-05","Wednesday",1100.34375
"331","1688-10-05","Tuesday",1099.3125
"332","1687-10-06","Monday",1098.28125
"333","1686-10-06","Sunday",1097.25
"334","1685-10-06","Saturday",1096.21875
"335","1684-10-06","Friday",1095.1875
"336","1683-10-07","Thursday",1094.15625
"337","1682-10-07","Wednesday",1093.125
"338","1681-10-07","Tuesday",1092.09375
"339","1680-10-07","Monday",1091.0625
"340","1679-10-08","Sunday",1090.03125
"341","1678-10-08","Saturday",1089
"342","1677-10-08","Friday",1087.96875
"343","1676-10-08","Thursday",1086.9375
"344","1675-10-09","Wednesday",1085.90625
"345","1674-10-09","Tuesday",1084.875
"346","1673-10-09","Monday",1083.84375
"347","1672-10-09","Sunday",1082.8125
